Seccion,Producto,Descripcion,Precio,Etiqueta
Jugos naturales,Mango,,$4.390 / leche $4.690,
Jugos naturales,Piña,,$4.390 / leche $4.690,
Jugos naturales,Naranja,,$4.390 / leche $4.690,
Jugos naturales,Mora,,$4.390 / leche $4.690,
Jugos naturales,Guayaba,,$4.390 / leche $4.690,
Jugos naturales,Lulo,,$4.390 / leche $4.690,Colombia
Jugos naturales,Guanábana,,$4.390 / leche $4.690,Colombia
Jugos naturales,Borojó,,$4.390 / leche $4.690,Colombia
Jugos naturales,Tomate de árbol,,$4.390 / leche $4.690,
Jugos naturales,Limonada,,$4.390,
Jugos naturales,Limonada menta jengibre,,$4.390,
Más bebidas,Tuti Fruti,2 frutas.,$5.200,
Más bebidas,Tuti Fruti,3 frutas.,$5.700,
Más bebidas,Agua mineral,Con o sin gas.,$2.390,
